First Name,Last Name,City,State,Account Email,Quarterly,Size,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
Abel,Maclead,Middle Island,NY,amaclead@gmail.com,Q1,S,Hoodie,Zip up Jacket,Hoodie,LS Shirt,Crewneck Sweater,SS Shirt,Crewneck Sweater,LS Shirt,LS Shirt,Button Down Shirt
Adelina,Nabours,Cleveland,OH,adelina_nabours@gmail.com,Q1,S,LS Shirt,SS Shirt,Crewneck Sweater,LS Shirt,Hoodie,Button Down Shirt,LS Shirt,Crewneck Sweater,Hoodie,LS Shirt
Adell,Lipkin,Whippany,NJ,adell.lipkin@lipkin.com,Q1,L,LS Shirt,LS Shirt,SS Shirt,SS Shirt,SS Shirt,SS Shirt,SS Shirt,LS Shirt,Hoodie,SS Shirt
Ahmed,Angalich,Harrisburg,PA,ahmed.angalich@angalich.com,Q1,M,LS Shirt,Crewneck Sweater,Hoodie,LS Shirt,Button Down Shirt,LS Shirt,LS Shirt,Hoodie,LS Shirt,LS Shirt
Aja,Gehrett,Nutley,NJ,aja_gehrett@hotmail.com,Q1,XL,SS Shirt,Zip up Jacket,LS Shirt,Hoodie,SS Shirt,LS Shirt,Polo Shirt,Crewneck Sweater,SS Shirt,Button Down Shirt
Alaine,Bergesen,Yonkers,NY,alaine_bergesen@cox.net,Q1,XL,SS Shirt,Crewneck Sweater,LS Shirt,LS Shirt,Zip up Jacket,LS Shirt,Crewneck Sweater,SS Shirt,LS Shirt,LS Shirt
Albina,Glick,Dunellen,NJ,albina@glick.com,Q1,M,Hoodie,LS Shirt,Button Down Shirt,Hoodie,LS Shirt,Zip up Jacket,Hoodie,LS Shirt,Zip up Jacket,SS Shirt
Alease,Buemi,Boulder,CO,alease@buemi.com,Q1,XS,SS Shirt,Crewneck Sweater,Hoodie,SS Shirt,Hoodie,LS Shirt,Hoodie,LS Shirt,LS Shirt,LS Shirt
Alecia,Bubash,Wichita Falls,TX,alecia@aol.com,Q1,S,Polo Shirt,Zip up Jacket,Zip up Jacket,LS Shirt,LS Shirt,Button Down Shirt,LS Shirt,Hoodie,Button Down Shirt,Button Down Shirt
Alesia,Hixenbaugh,Washington,DC,alesia_hixenbaugh@hixenbaugh.org,Q1,S,Hoodie,Crewneck Sweater,LS Shirt,SS Shirt,Button Down Shirt,SS Shirt,SS Shirt,Crewneck Sweater,SS Shirt,Zip up Jacket
Alex,Loader,Tacoma,WA,alex@loader.com,Q1,L,SS Shirt,LS Shirt,LS Shirt,Hoodie,SS Shirt,LS Shirt,Button Down Shirt,Hoodie,LS Shirt,Polo Shirt
Alisha,Slusarski,Middlesex,NJ,alisha@slusarski.com,Q1,S,Polo Shirt,LS Shirt,Zip up Jacket,Hoodie,LS Shirt,Zip up Jacket,Crewneck Sweater,Zip up Jacket,Polo Shirt,LS Shirt
Alishia,Sergi,New York,NY,asergi@gmail.com,Q1,S,SS Shirt,LS Shirt,LS Shirt,Crewneck Sweater,Hoodie,LS Shirt,Hoodie,Button Down Shirt,Button Down Shirt,Hoodie
Aliza,Baltimore,San Jose,CA,aliza@aol.com,Q1,S,Hoodie,Crewneck Sweater,LS Shirt,LS Shirt,Crewneck Sweater,Zip up Jacket,Zip up Jacket,Zip up Jacket,Zip up Jacket,SS Shirt
Allene,Iturbide,Stevens Point,WI,allene_iturbide@cox.net,Q1,M,Button Down Shirt,LS Shirt,Zip up Jacket,LS Shirt,Zip up Jacket,Hoodie,LS Shirt,Crewneck Sweater,SS Shirt,Crewneck Sweater
